Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,OrderFrequency,CustomerValue,InactivityScore,ComplaintRate,EngagementScore
1,0.0,2,1,13.0,0,1,2.0,3,3,3,1,2,0,20.0,1.0,1.0,0.0,123.77,1.0,123.77,0.0,0.0,2.0
0,15.0,1,1,19.0,3,1,3.0,1,2,5,1,6,0,18.0,1.0,1.0,0.0,155.38,0.0625,155.38,0.0,0.0,3.0
1,0.0,2,3,30.0,3,0,2.0,4,2,4,2,1,1,23.0,2.0,10.0,10.0,145.99,10.0,1459.9,10.0,0.0909090909090909,20.0
0,0.0,0,1,17.0,3,1,2.0,3,2,5,1,2,1,13.0,1.0,3.0,3.0,147.41,3.0,442.23,3.0,0.25,6.0
1,9.0,2,1,13.0,4,1,3.0,3,3,5,2,4,1,14.0,0.0,1.0,3.0,121.66,0.2857142857142857,121.66,0.4705882352941176,0.5,3.0
0,15.0,0,2,8.0,3,1,3.0,1,2,5,0,8,0,16.0,0.0,1.0,3.0,162.72,0.0625,162.72,0.1875,0.0,3.0
0,17.0,1,3,6.0,5,0,3.0,3,2,5,1,6,1,21.0,1.0,1.0,3.0,154.54,0.0555555555555555,154.54,0.1666666666666666,0.5,3.0
0,28.0,1,3,10.0,5,0,3.0,4,2,5,0,4,0,15.0,2.0,2.0,6.0,184.4,0.0689655172413793,368.8,0.2068965517241379,0.0,6.0
0,4.0,0,3,8.0,6,1,2.0,3,2,5,2,8,0,13.0,0.0,1.0,3.0,153.32,0.2,153.32,0.6,0.0,2.0
0,1.0,1,3,25.0,4,1,4.0,2,2,3,0,4,0,12.0,1.0,2.0,3.0,187.32,1.0,374.64,1.5,0.0,8.0
0,23.0,0,1,8.0,4,1,3.0,3,1,5,1,2,0,11.0,1.0,14.0,7.0,279.24,0.5833333333333334,3909.36,0.2916666666666667,0.0,42.0
0,1.0,1,1,26.0,6,1,4.0,5,4,5,1,3,0,12.0,1.0,2.0,8.0,165.66,1.0,331.32,4.0,0.0,8.0
0,10.0,0,3,25.0,3,1,2.0,3,0,4,2,2,1,13.0,0.0,1.0,9.0,176.42,0.0909090909090909,176.42,0.8181818181818182,0.5,2.0
0,16.0,1,3,8.0,3,1,3.0,3,2,1,1,2,1,17.0,0.0,8.0,8.0,178.47,0.4705882352941176,1427.76,0.4705882352941176,0.1111111111111111,24.0
0,1.0,2,3,9.0,0,0,3.0,3,3,4,1,2,0,19.0,1.0,1.0,0.0,128.56,0.5,128.56,0.0,0.0,6.0
0,10.0,2,2,14.0,6,1,2.0,3,2,4,1,3,0,13.0,3.0,4.0,7.0,140.71,0.3636363636363636,562.84,0.6363636363636364,0.0,8.0
0,9.0,2,1,6.0,4,0,2.0,3,3,2,2,2,0,12.0,1.0,5.0,7.0,121.15,0.2857142857142857,605.75,0.4705882352941176,0.0,10.0
0,26.0,1,1,13.0,1,1,4.0,4,2,5,1,5,1,13.0,3.0,7.0,10.0,180.77,0.2592592592592592,1265.39,0.3703703703703703,0.125,28.0
1,1.0,1,1,14.0,4,1,4.0,4,2,3,0,3,0,19.0,2.0,2.0,2.0,173.83,1.0,347.66,1.0,0.0,8.0
0,23.0,0,1,25.0,4,1,4.0,4,2,2,1,3,1,16.0,1.0,2.0,8.0,193.04,0.0833333333333333,386.08,0.3333333333333333,0.3333333333333333,8.0
0,7.0,1,1,14.0,3,1,3.0,4,0,3,0,2,0,12.0,1.0,2.0,8.0,241.91000000000005,0.2857142857142857,322.34,1.0,0.0,6.0
0,13.0,0,3,27.0,4,1,3.0,4,2,1,1,4,0,19.0,2.0,3.0,3.0,166.27,0.2142857142857142,498.81000000000006,0.2142857142857142,0.0,9.0
0,7.0,1,1,21.0,3,0,4.0,4,4,4,0,3,0,14.0,1.0,2.0,7.0,152.56,0.25,305.12,0.875,0.0,8.0
0,31.0,2,2,13.0,3,1,3.0,4,4,3,0,10,0,18.0,3.0,3.0,3.0,147.67,0.09375,443.01,0.09375,0.0,9.0
0,6.0,1,3,17.0,5,1,3.0,4,2,1,2,3,0,13.0,2.0,2.0,9.0,178.96,0.2857142857142857,357.92,1.2857142857142858,0.0,6.0
0,1.0,1,1,7.0,4,0,3.0,5,4,3,1,3,1,14.0,1.0,2.0,1.0,154.33,1.0,308.66,0.5,0.3333333333333333,6.0
1,1.0,1,1,32.0,1,0,4.0,5,4,4,1,7,0,17.0,2.0,2.0,2.0,150.46,1.0,300.92,1.0,0.0,8.0
0,4.0,0,3,11.0,5,0,3.0,3,3,4,1,2,0,11.0,0.0,2.0,2.0,127.89,0.4,255.78,0.4,0.0,6.0
0,25.0,0,3,126.0,4,1,2.0,3,3,1,1,3,0,15.0,1.0,1.0,0.0,134.82,0.0384615384615384,134.82,0.0,0.0,2.0
0,12.0,1,1,7.0,4,0,3.0,4,0,3,2,6,1,15.0,1.0,2.0,1.0,203.61,0.1538461538461538,407.22,0.0769230769230769,0.3333333333333333,6.0
0,17.0,1,3,9.0,3,1,4.0,4,2,1,1,3,1,18.0,1.0,9.0,9.0,203.47,0.5,1831.23,0.5,0.1,36.0
0,13.0,1,1,20.0,3,1,2.0,4,5,3,2,2,0,15.0,4.0,4.0,9.0,296.26,0.2857142857142857,1185.04,0.6428571428571429,0.0,8.0
0,3.0,0,3,31.0,1,0,2.0,3,2,3,1,8,1,12.0,2.0,2.0,2.0,147.36,0.5,294.72,0.5,0.3333333333333333,4.0
0,9.0,0,1,6.0,0,1,3.0,3,3,5,1,5,0,13.0,0.0,1.0,2.0,121.94,0.2857142857142857,121.94,0.4705882352941176,0.0,3.0
0,1.0,0,2,17.0,3,1,3.0,4,4,1,1,2,0,15.0,1.0,3.0,2.0,146.45,1.5,439.35,1.0,0.0,9.0
0,13.0,0,3,8.0,3,1,3.0,3,2,4,1,6,0,12.0,1.0,1.0,0.0,143.27,0.0714285714285714,143.27,0.0,0.0,3.0
0,11.0,1,3,16.0,4,0,3.0,3,2,1,1,2,0,11.0,0.0,1.0,9.0,153.43,0.0833333333333333,153.43,0.75,0.0,3.0
0,17.0,1,1,14.0,4,0,3.0,4,0,5,1,10,0,17.0,2.0,2.0,3.0,224.85,0.1111111111111111,449.7,0.4705882352941176,0.0,6.0
0,13.0,1,1,7.0,4,1,3.0,3,1,5,1,3,0,11.0,1.0,11.0,16.0,268.23,0.7857142857142857,2950.53,1.1428571428571428,0.0,33.0
1,8.0,1,1,22.0,3,0,4.0,4,0,1,1,3,0,12.0,1.0,2.0,6.0,204.78,0.2222222222222222,409.56,0.6666666666666666,0.0,8.0
0,13.0,1,1,14.0,4,0,3.0,3,2,5,1,3,1,16.0,0.0,1.0,0.0,165.16,0.0714285714285714,165.16,0.0,0.5,3.0
0,27.0,1,1,8.0,2,0,2.0,3,0,3,1,10,0,12.0,0.0,2.0,3.0,235.49,0.2857142857142857,322.34,0.1071428571428571,0.0,6.0
0,18.0,0,1,8.0,3,1,3.0,4,1,1,1,10,0,23.0,1.0,11.0,8.0,267.92,0.5789473684210527,2947.1200000000003,0.4210526315789473,0.0,33.0
1,0.0,1,3,9.0,4,1,2.0,4,0,1,1,2,1,11.0,3.0,3.0,7.0,203.25,3.0,609.75,7.0,0.25,6.0
0,1.0,2,1,10.0,3,1,3.0,5,4,2,2,2,0,14.0,1.0,2.0,2.0,145.45,1.0,290.9,1.0,0.0,6.0
0,7.0,2,1,13.0,0,1,3.0,3,3,1,2,2,0,13.0,0.0,1.0,0.0,129.72,0.125,129.72,0.0,0.0,6.0
1,19.0,1,1,9.0,3,1,4.0,4,5,5,1,7,1,14.0,2.0,2.0,5.0,323.59,0.1,647.18,0.25,0.3333333333333333,8.0
1,1.0,1,3,27.0,4,0,4.0,6,2,3,0,5,1,12.0,2.0,3.0,3.0,170.59,1.5,511.77,1.5,0.25,12.0
0,3.0,2,1,22.0,4,1,3.0,4,4,2,2,3,0,20.0,1.0,2.0,6.0,148.4,0.5,296.8,1.5,0.0,6.0
0,21.0,1,3,9.0,5,0,3.0,4,2,1,1,2,1,23.0,4.0,8.0,8.0,170.37,0.3636363636363636,1362.96,0.3636363636363636,0.1111111111111111,24.0
0,3.0,1,1,34.0,3,0,4.0,4,2,3,0,6,0,13.0,2.0,2.0,2.0,168.35,0.5,336.7,0.5,0.0,8.0
0,12.0,2,1,16.0,4,0,4.0,4,4,2,2,3,0,13.0,2.0,3.0,2.0,147.88,0.2307692307692307,443.64,0.1538461538461538,0.0,12.0
0,4.0,1,1,7.0,3,1,4.0,4,4,4,0,2,1,22.0,2.0,6.0,8.0,160.79,1.2,964.74,1.6,0.1428571428571428,24.0
0,15.0,1,3,7.0,5,1,3.0,2,0,5,1,3,0,17.0,2.0,2.0,8.0,208.92,0.125,417.84,0.5,0.0,6.0
0,3.0,1,3,22.0,4,1,3.0,3,2,3,0,9,0,15.0,0.0,2.0,2.0,153.01,0.5,306.02,0.5,0.0,6.0
0,5.0,1,1,11.0,4,0,3.0,4,2,4,1,4,0,12.0,1.0,2.0,5.0,158.78,0.3333333333333333,317.56,0.8333333333333334,0.0,6.0
0,26.0,1,1,15.0,6,0,3.0,4,4,5,1,11,0,14.0,2.0,2.0,5.0,154.5,0.074074074074074,309.0,0.1851851851851851,0.0,6.0
0,31.0,2,1,10.0,4,1,4.0,5,4,1,1,5,0,18.0,1.0,2.0,1.0,146.77,0.0625,293.54,0.03125,0.0,8.0
1,2.0,0,1,8.0,4,1,2.0,3,1,1,1,8,0,11.0,10.0,11.0,3.0,221.69,3.6666666666666665,2438.59,0.4705882352941176,0.0,22.0
0,13.0,1,3,28.0,4,1,3.0,5,2,2,0,5,1,13.0,1.0,2.0,5.0,186.2,0.1428571428571428,372.4,0.3571428571428571,0.3333333333333333,6.0
0,2.0,0,1,7.0,4,0,3.0,6,2,2,0,2,0,12.0,8.0,8.0,6.0,191.74,2.6666666666666665,1533.92,2.0,0.0,24.0
1,9.0,1,1,14.0,4,0,2.0,4,4,4,2,2,0,12.0,0.0,1.0,0.0,112.61,0.2857142857142857,112.61,0.4705882352941176,0.0,2.0
0,9.0,1,3,7.0,5,1,3.0,4,2,3,0,11,0,12.0,4.0,7.0,10.0,172.17,0.7,1205.1899999999998,1.0,0.0,21.0
0,9.0,1,1,13.0,4,1,4.0,4,4,3,0,2,1,15.0,2.0,3.0,3.0,160.06,0.3,480.18,0.3,0.25,12.0
0,8.0,1,3,7.0,5,1,4.0,2,2,1,1,2,0,12.0,1.0,2.0,3.0,222.25,0.2222222222222222,444.5,0.4705882352941176,0.0,8.0
1,0.0,2,3,8.0,5,1,3.0,3,3,5,1,1,0,11.0,1.0,1.0,2.0,130.41,1.0,130.41,2.0,0.0,6.0
0,5.0,0,1,10.0,3,1,3.0,4,4,5,1,3,1,14.0,1.0,3.0,4.0,155.65,0.5,466.9500000000001,0.6666666666666666,0.25,9.0
0,15.0,1,1,9.0,4,0,3.0,1,2,1,1,3,1,13.0,1.0,1.0,3.0,152.31,0.0625,152.31,0.1875,0.5,3.0
0,24.0,0,3,7.0,4,0,4.0,4,2,3,1,2,0,13.0,1.0,2.0,14.0,188.47,0.08,376.94,0.56,0.0,8.0
0,25.0,1,1,6.0,4,1,3.0,4,5,3,1,1,0,15.0,7.0,11.0,9.0,299.99,0.4230769230769231,3299.8900000000003,0.3461538461538461,0.0,33.0
0,1.0,1,3,16.0,3,1,3.0,3,4,4,0,2,0,22.0,1.0,1.0,0.0,110.52,0.5,110.52,0.0,0.0,3.0
0,9.0,1,3,25.0,3,0,3.0,4,2,3,0,3,0,17.0,2.0,2.0,1.0,171.01,0.2,342.02,0.1,0.0,6.0
0,7.0,0,1,9.0,4,1,3.0,4,3,1,1,4,0,17.0,0.0,1.0,0.0,129.79,0.125,129.79,0.0,0.0,6.0
0,2.0,1,1,34.0,3,0,3.0,6,2,5,1,2,0,22.0,2.0,2.0,1.0,173.77,0.6666666666666666,347.54,0.3333333333333333,0.0,6.0
0,0.0,2,1,8.0,4,0,2.0,3,2,2,0,1,0,18.0,0.0,2.0,2.0,142.27,2.0,284.54,2.0,0.0,4.0
0,7.0,1,3,15.0,4,1,3.0,4,2,5,1,4,0,14.0,3.0,3.0,3.0,188.92,0.375,566.76,0.375,0.0,9.0
0,27.0,1,1,9.0,4,1,2.0,3,1,1,1,4,0,14.0,1.0,1.0,9.0,277.79,0.0357142857142857,277.79,0.3214285714285714,0.0,2.0
0,1.0,1,1,24.0,1,1,3.0,4,4,4,1,2,1,17.0,1.0,2.0,2.0,155.58,1.0,311.16,1.0,0.3333333333333333,6.0
0,16.0,1,1,9.0,3,0,3.0,5,4,5,1,2,1,12.0,5.0,8.0,9.0,150.93,0.4705882352941176,1207.44,0.5294117647058824,0.1111111111111111,24.0
0,9.0,0,1,32.0,2,0,3.0,4,3,3,1,2,0,20.0,1.0,1.0,0.0,120.29,0.2857142857142857,120.29,0.4705882352941176,0.0,3.0
1,11.0,1,1,6.0,4,1,3.0,4,0,3,2,10,1,13.0,0.0,1.0,0.0,153.81,0.0833333333333333,153.81,0.0,0.5,3.0
0,5.0,0,1,13.0,4,0,3.0,4,3,4,1,7,0,20.0,0.0,1.0,2.0,123.32,0.1666666666666666,123.32,0.3333333333333333,0.0,3.0
0,30.0,1,1,6.0,3,1,2.0,3,2,3,0,3,0,11.0,1.0,1.0,2.0,167.55,0.032258064516129,167.55,0.064516129032258,0.0,2.0
0,16.0,1,1,13.0,3,1,3.0,4,0,5,1,11,0,14.0,4.0,2.0,8.0,258.48,0.2857142857142857,322.34,0.4705882352941176,0.0,6.0
0,8.0,1,1,7.0,3,0,2.0,4,2,1,1,1,0,12.0,0.0,1.0,0.0,153.63,0.1111111111111111,153.63,0.0,0.0,2.0
0,5.0,2,1,35.0,4,0,3.0,4,3,4,2,2,0,13.0,3.0,4.0,1.0,128.37,0.6666666666666666,513.48,0.1666666666666666,0.0,6.0
1,0.0,1,3,22.0,5,1,3.0,3,0,3,1,3,0,13.0,1.0,1.0,0.0,181.61,1.0,181.61,0.0,0.0,3.0
0,20.0,0,1,6.0,3,0,3.0,3,0,4,1,1,0,18.0,0.0,5.0,3.0,219.57,0.238095238095238,1097.85,0.4705882352941176,0.0,15.0
0,19.0,0,1,30.0,4,1,3.0,4,2,5,1,3,1,16.0,2.0,2.0,9.0,161.33,0.1,322.66,0.45,0.3333333333333333,6.0
1,1.0,1,1,16.0,3,0,3.0,4,4,5,2,9,0,23.0,2.0,2.0,5.0,167.0,1.0,334.0,2.5,0.0,6.0
0,8.0,1,3,16.0,4,0,4.0,4,2,3,1,3,0,21.0,1.0,2.0,4.0,182.14,0.2222222222222222,364.28,0.4444444444444444,0.0,8.0
0,0.0,2,1,13.0,6,1,3.0,1,4,5,2,1,0,12.0,0.0,1.0,7.0,135.78,1.0,135.78,7.0,0.0,3.0
0,23.0,1,1,14.0,4,1,3.0,4,0,4,1,5,0,15.0,1.0,2.0,3.0,229.66,0.0833333333333333,459.32,0.4705882352941176,0.0,6.0
0,18.0,2,1,13.0,4,1,3.0,3,3,2,0,4,0,21.0,1.0,1.0,2.0,126.54,0.0526315789473684,126.54,0.1052631578947368,0.0,3.0
0,19.0,1,1,13.0,3,1,3.0,3,0,3,1,7,0,13.0,0.0,1.0,7.0,208.45,0.05,208.45,0.35,0.0,3.0
1,0.0,0,1,13.0,4,1,3.0,5,2,3,2,2,1,24.0,1.0,1.0,6.0,160.74,1.0,160.74,6.0,0.5,3.0
0,9.0,1,3,25.0,3,1,4.0,4,2,5,1,2,0,17.0,2.0,2.0,5.0,180.61,0.2,361.22,0.5,0.0,8.0
0,15.0,1,1,10.0,2,1,2.0,3,5,2,0,2,0,15.0,0.0,11.0,15.0,292.32,0.6875,3215.52,0.9375,0.0,22.0
0,17.0,1,1,21.0,4,1,4.0,4,1,5,1,8,0,15.0,2.0,2.0,1.0,296.59,0.1111111111111111,593.18,0.0555555555555555,0.0,8.0
0,1.0,2,1,28.0,1,1,3.0,5,4,5,1,2,0,15.0,1.0,2.0,1.0,147.96,1.0,295.92,0.5,0.0,6.0
0,15.0,1,3,7.0,5,1,3.0,2,0,5,1,3,0,17.0,2.0,2.0,8.0,208.92,0.125,417.84,0.5,0.0,6.0
0,2.0,0,3,6.0,3,0,2.0,3,0,1,1,2,0,14.0,4.0,4.0,1.0,179.18,1.3333333333333333,716.72,0.3333333333333333,0.0,8.0
0,12.0,0,2,8.0,6,1,3.0,4,4,4,1,2,1,12.0,1.0,2.0,3.0,154.91,0.1538461538461538,309.82,0.2307692307692307,0.3333333333333333,6.0
0,3.0,0,1,9.0,4,0,4.0,4,4,4,1,2,0,14.0,2.0,2.0,3.0,156.8,0.5,313.6,0.75,0.0,8.0
0,8.0,0,3,17.0,5,1,2.0,3,2,1,1,2,0,11.0,1.0,1.0,2.0,149.68,0.1111111111111111,149.68,0.2222222222222222,0.0,2.0
0,24.0,1,3,16.0,5,1,3.0,4,5,3,1,6,1,15.0,1.0,2.0,1.0,318.31,0.08,636.62,0.04,0.3333333333333333,6.0
0,12.0,1,1,7.0,4,0,3.0,4,0,3,2,6,1,15.0,1.0,2.0,1.0,203.61,0.1538461538461538,407.22,0.0769230769230769,0.3333333333333333,6.0
1,0.0,2,3,30.0,3,0,2.0,4,2,4,2,1,1,23.0,4.0,10.0,10.0,145.99,10.0,1459.9,10.0,0.0909090909090909,20.0
1,1.0,2,3,29.0,5,1,3.0,4,4,3,2,3,1,20.0,2.0,2.0,1.0,141.75,1.0,283.5,0.5,0.3333333333333333,6.0
0,2.0,0,3,8.0,4,1,3.0,5,2,1,1,3,1,13.0,2.0,2.0,8.0,193.34,0.6666666666666666,386.68,2.6666666666666665,0.3333333333333333,6.0
0,14.0,0,1,7.0,4,1,4.0,5,1,4,1,3,0,23.0,6.0,2.0,12.0,260.03,0.2857142857142857,322.34,0.8,0.0,6.0
0,20.0,1,3,10.0,4,0,3.0,4,1,4,0,10,0,13.0,1.0,6.0,2.0,291.06,0.2857142857142857,1746.36,0.0952380952380952,0.0,18.0
0,9.0,1,1,11.0,4,1,3.0,3,2,4,2,9,0,16.0,0.0,3.0,7.0,159.14,0.3,477.42,0.7,0.0,9.0
0,13.0,0,1,16.0,4,1,4.0,4,2,4,2,11,0,16.0,2.0,2.0,4.0,192.82,0.1428571428571428,385.64,0.2857142857142857,0.0,8.0
0,12.0,0,1,36.0,4,0,3.0,4,2,1,2,3,0,12.0,7.0,10.0,10.0,149.06,0.7692307692307693,1490.6,0.7692307692307693,0.0,30.0
1,0.0,2,1,13.0,4,0,3.0,3,3,1,1,2,1,11.0,1.0,1.0,0.0,125.15,1.0,125.15,0.0,0.5,3.0
0,14.0,2,1,9.0,3,0,3.0,5,4,2,2,2,1,21.0,3.0,3.0,4.0,148.42,0.2,445.26,0.2666666666666666,0.25,9.0
0,8.0,2,1,13.0,0,1,3.0,4,3,5,2,2,0,19.0,0.0,1.0,2.0,124.5,0.1111111111111111,124.5,0.2222222222222222,0.0,3.0
0,3.0,1,1,28.0,4,0,3.0,2,0,5,1,3,0,12.0,7.0,9.0,3.0,224.8,2.25,2023.2,0.4705882352941176,0.0,27.0
0,11.0,0,3,26.0,3,1,3.0,4,0,4,2,3,1,14.0,1.0,2.0,10.0,201.42,0.1666666666666666,402.84,0.8333333333333334,0.3333333333333333,6.0
1,1.0,2,1,15.0,3,0,4.0,4,4,5,1,3,1,18.0,1.0,2.0,1.0,148.98,1.0,297.96,0.5,0.3333333333333333,8.0
0,28.0,1,1,20.0,3,1,3.0,1,5,4,2,9,0,11.0,1.0,2.0,15.0,287.22,0.0689655172413793,574.44,0.5172413793103449,0.0,6.0
1,9.0,1,3,16.0,4,0,3.0,3,0,4,1,6,0,21.0,0.0,1.0,7.0,173.14,0.1,173.14,0.7,0.0,3.0
0,4.0,0,1,9.0,1,0,4.0,5,4,5,2,2,0,17.0,1.0,2.0,8.0,174.68,0.4,349.36,1.6,0.0,8.0
0,16.0,1,1,12.0,6,1,2.0,4,1,2,1,5,1,14.0,1.0,1.0,0.0,266.27,0.0588235294117647,266.27,0.0,0.5,2.0
0,30.0,1,3,22.0,5,1,2.0,3,2,5,2,9,0,14.0,2.0,2.0,2.0,154.05,0.064516129032258,308.1,0.064516129032258,0.0,4.0
0,28.0,0,1,27.0,4,0,3.0,4,2,3,2,5,0,13.0,2.0,2.0,4.0,173.69,0.0689655172413793,347.38,0.1379310344827586,0.0,6.0
1,2.0,2,1,13.0,0,1,3.0,3,3,5,1,8,1,21.0,1.0,2.0,2.0,124.04,0.6666666666666666,248.08,0.6666666666666666,0.3333333333333333,6.0
0,28.0,1,2,26.0,3,1,3.0,4,0,4,1,4,0,16.0,3.0,2.0,2.0,232.25,0.2857142857142857,322.34,0.0689655172413793,0.0,6.0
0,11.0,0,3,16.0,1,0,2.0,3,2,1,2,2,1,13.0,1.0,1.0,3.0,156.66,0.0833333333333333,156.66,0.25,0.5,2.0
0,11.0,1,3,13.0,3,1,4.0,4,2,2,0,6,0,15.0,1.0,2.0,2.0,190.02,0.1666666666666666,380.04,0.1666666666666666,0.0,8.0
0,7.0,1,1,22.0,3,0,4.0,4,2,1,1,2,1,14.0,6.0,9.0,2.0,37.0,1.125,333.0,0.25,0.1,36.0
0,16.0,1,3,11.0,5,1,3.0,4,2,5,2,9,0,14.0,2.0,2.0,6.0,176.55,0.1176470588235294,353.1,0.3529411764705882,0.0,6.0
0,14.0,0,1,15.0,4,1,4.0,4,2,1,1,5,1,19.0,2.0,3.0,3.0,165.69,0.2,497.07,0.2,0.25,12.0
0,11.0,1,3,9.0,4,1,3.0,3,0,3,1,1,0,12.0,1.0,5.0,13.0,206.09,0.4166666666666667,1030.45,1.0833333333333333,0.0,15.0
0,0.0,2,1,24.0,4,1,3.0,3,3,3,1,1,0,12.0,0.0,1.0,2.0,127.74,1.0,127.74,2.0,0.0,6.0
0,28.0,1,3,10.0,5,0,3.0,4,2,5,1,4,0,15.0,2.0,2.0,6.0,184.4,0.0689655172413793,368.8,0.2068965517241379,0.0,6.0
1,1.0,2,1,7.0,1,1,4.0,5,4,5,2,8,0,14.0,1.0,2.0,8.0,148.62,1.0,297.24,4.0,0.0,8.0
0,14.0,0,1,8.0,6,0,3.0,4,2,3,2,3,1,17.0,0.0,1.0,7.0,168.11,0.0666666666666666,168.11,0.4666666666666667,0.5,3.0
0,1.0,1,1,16.0,3,1,4.0,2,4,3,1,3,0,17.0,1.0,2.0,5.0,169.01,1.0,338.02,2.5,0.0,8.0
0,13.0,1,1,26.0,2,1,3.0,3,0,1,1,5,0,20.0,3.0,11.0,1.0,203.22,0.7857142857142857,2235.42,0.0714285714285714,0.0,33.0
0,11.0,0,1,32.0,3,0,4.0,4,2,3,0,5,1,16.0,4.0,11.0,8.0,169.49,0.9166666666666666,1864.39,0.6666666666666666,0.0833333333333333,44.0
0,9.0,1,1,29.0,4,1,3.0,6,4,3,2,2,0,16.0,2.0,5.0,4.0,167.3,0.5,836.5,0.4,0.0,15.0
0,1.0,2,3,17.0,3,0,4.0,5,4,3,2,3,0,13.0,1.0,2.0,1.0,137.0,1.0,274.0,0.5,0.0,8.0
1,20.0,0,1,13.0,4,1,2.0,4,3,1,1,10,1,14.0,1.0,1.0,0.0,123.8,0.0476190476190476,123.8,0.0,0.5,2.0
1,9.0,2,1,28.0,4,0,2.0,3,3,3,0,5,1,11.0,0.0,1.0,1.0,121.32,0.2857142857142857,121.32,0.4705882352941176,0.5,2.0
0,13.0,1,3,15.0,3,1,2.0,3,2,5,1,1,0,12.0,2.0,7.0,1.0,154.73,0.5,1083.11,0.0714285714285714,0.0,14.0
0,27.0,0,1,26.0,4,0,2.0,3,2,3,2,4,0,12.0,1.0,1.0,3.0,148.69,0.0357142857142857,148.69,0.1071428571428571,0.0,2.0
